author,comments,update,sentiment_score,analysis_think
劲赚长红dqi,最近创新药出海的消息很多，也让全球投资者对港股更有信心,10-09,5,创新药出海利好港股，市场信心提升
懂奉献的柠檬,这么高估的泡泡，竟然还有人看好？看看美团京东蜜雪冰城哪个不是从高点下来跌70%？,10-08,4,评论批评高估现象，但提及市场仍有人看好，情绪矛盾。
摩羯海星,现在最大的风险在于科技，10月可以转消费了！,10-08,2,评论指出科技风险，暗示转消费机会，整体情绪偏负面但存在转折。
股友aZNWuh,250别看了，安心堵车,10-08,3,评论中包含劝告语气，但未明确表达积极或消极情绪
佰维存储资讯,A股芯企掀起赴港上市潮，年内至少20家披露H股发行计划,10-07,5,评论提及赴港上市潮，暗示市场积极预期，但未提及负面因素，故判定为极度乐观。
佰维存储资讯,A股芯企掀起赴港上市潮，年内至少20家披露H股发行计划,10-07,5,核心企业赴港上市引发市场期待，积极信号明显
股友mw28776172,看明天了，估计至少拉5个点,10-07,3,评论中包含未来预测和下跌预期，但语气较中性
大猫精,这港股通持股变化是假的吧？这几天都没开，竟然也有增减？,10-06,3,评论质疑数据真实性，但未明确负面情绪
大红大紫向上冲,卡游还有机会上市吗？,10-06,3,询问公司上市可能性，无明确情绪倾向
胖子想瘦瘦不了,省子成本线肯定会被摩擦，就看他保本出不出,10-06,3,评论提及市场阻力但未明确预测结果，情感中性
国色天香的林念茜,七匹狼与泡泡玛特共同投资了深势科技[赞][赞][赞]尊敬的董秘：你好！看到前期公,10-05,5,评论提及两家知名公司投资，暗示市场积极预期
柔和的雷古力娜扎,《麻省理工科技评论》“50家聪明公司”最新评选结果揭晓。自2018年正式落地中国,10-05,4,评论提及评选结果但未具体说明公司表现，可能含积极预期但缺乏细节
柔和的雷古力娜扎,$泡泡玛特(HK|09992)$ $七 匹 狼(SZ002029)$七匹狼 （厦,10-05,3,评论未提及具体股价或市场情绪，无法判断情感倾向
红肥绿瘦668,还得腰斩,10-04,5,评论中使用'腰斩'表达强烈负面情绪
泡泡玛特资讯,英国今年已截获25.9万件假冒玩具 九成为Labubu玩偶,10-04,1,假冒商品增加可能损害公司声誉，导致股价下跌
泡泡玛特资讯,中国IP魅力难挡,10-04,5,评论强调中国IP的吸引力，属于正面评价
股友9G90277I68,进入恒生指数，你就是拉恒生指数下来的把,10-03,1,评论使用贬义词汇批评对方行为，属于极度悲观
股友0192x6o206,破位下跌？可能在小区垃圾桶发现了不少泡泡玛特的布公仔了！,10-03,3,评论提及破位下跌，但未明确否定公司基本面，情绪偏中性偏悲观
股友9G90277I68,想爆粗口发泄,10-03,1,评论中明确表达情绪爆发，属于极度负面情感
基民NWEgDx,谁知道捅了什么篓子，这么跌法,10-02,1,评论中使用负面词汇表达对股价下跌的不满
撒哈拉金狮,早就说了呀，雪球大V省心省力不保本出泡泡，泡泡不可能再涨……,10-02,1,评论明确表达对产品的不满和对未来的悲观预期
股友691HC21016,明天怒涨13个点,10-02,5,评论中使用'怒涨'表达强烈上涨，符合极度乐观的特征
一股洪流1982,耗时3小时，适合闲暇时间沉下心来拼，过程很享受！情绪价值给到位了。相信变形金刚、,10-01,5,评论整体积极，强调过程享受和情绪价值
明智的庄佑超,转发,10-01,3,评论仅包含'转发'，无情绪表达，属中性
三朝元老123,不到2块不动………,10-01,3,评论提及股价稳定，但未明确表达积极或消极情绪，属于中性表述。
耳鸣难治,股价确实有点贵，算上26年的利润，按现在的价格pe也有25，还是等200再说。夹,09-30,3,评论指出股价高且未来可能需等待，但未完全否定潜力，属中性偏悲观
小小投手,庄家控盘,09-30,4,庄家控盘反映市场主导权，可能被解读为积极或中性
于股海游嘻,给你出条策略，趁现在热度还在，抓紧找国际一线品牌做联名款，稳固自己的虚高的定位，,09-30,3,评论建议行动但含隐含风险，情绪中性
泡泡玛特资讯,溢价近15倍！泡泡玛特“星星人美味时刻系列”未售先火,09-29,4,评论提及溢价和热销，可能反映市场乐观预期
泡泡玛特资讯,59元卖929元，泡泡玛特星星人新品“未售先火”，隐藏款溢价15倍超迷你LABUBU,09-29,2,高价出售且溢价高，暗示市场泡沫，情绪偏悲观
阿涛最帅a,优秀基地我来了,09-29,4,评论中包含积极词汇'优秀'，可能指投资表现，整体情绪偏乐观
股友83g56380z3,二级市场不买单咯，等着跌吧,09-28,5,评论明确表达对股价下跌的预期，属于极度悲观
股友7598t5k656,这个票一个个波段才有操作空间，对于短线的投资者不太适宜做这个票！（比如季报，半年,09-28,4,评论指出适合长期操作，但未明显表达情绪
股友7Q916g8391,[图片],09-28,3,评论中未提供具体信息，无法判断情感倾向
知股微声,健民集团加油！,09-26,5,评论中使用'加油'表达积极情绪，无负面信息
和辉光电-U资讯,上市四年半累亏超90亿元！和辉光电大股东减持9195万股，高管此前集体套现,09-26,1,上市四年半累亏超90亿元，大股东减持及高管套现加剧负面情绪
股友Nqrv3x,泡泡未来刚刚开始,09-26,4,评论未明确提及具体公司或项目，但'未来刚刚开始'暗示积极前景
安详的柯蕙栋,跌无可跌，起飞,09-25,3,评论包含负面和积极元素，整体情感中性
泡泡玛特资讯,泡泡玛特杀入珠宝赛道 定价比老铺黄金贵,09-25,3,进入新赛道可能被看作积极，但高价可能影响接受度，整体中性。
轻松吃涨停,国庆港股通挂单可以卖出嘛,09-25,1,国庆港股通暂停交易，无法挂单卖出
股友5925I2K708,这是什么LJ货啊这么被做空,09-24,3,评论中包含对LJ货被做空的负面情绪，但未明确基本面信息，需结合市场判断
股友9G90277I68,又在恒生指数最后，真是服了,09-24,1,评论中明确表达对恒生指数的失望，属于极度悲观情绪
不如卖了,空苟沙茶多了，差不多了,09-24,3,评论中带有贬义，但未明确表达强烈情绪
哪里才是卖点,现在可以入吗？,09-23,3,询问是否可以买入，语气中性但缺乏明确情绪
追逐梦想66668888,加仓走起,09-23,5,加仓走起表明投资者信心高涨，属于极度乐观
股友9G90277I68,感觉不妙啊，今天,09-23,3,评论中包含负面情绪但缺乏具体市场信息
耳鸣难治,泡泡玛特的基本面并非恶化，而是进入了一个增速放缓但更可持续、更多元化的新阶段。它,09-22,4,评论指出基本面改善且未来更具可持续性，整体偏乐观
股友9G90277I68,真是,09-22,3,评论简短，缺乏上下文，难以确定情感倾向
齐心合力de钢牙,尾盘又大卖2个亿，还有人说是调仓指数吗？数据上伪装净流入好几个亿，每天都尾盘全部,09-22,1,评论指出市场数据被人为操控，暗示操纵行为，情绪极度悲观
炒股就是为了回本别玩,还好抄底了,09-21,4,评论中提到'抄底'，但语气较弱，整体表达积极，属于乐观情绪。
股友7598t5k656,该股占我一成的仓位，310～380左右吧考虑卖,09-21,2,评论中提到'考虑卖'，表明悲观情绪
zilken,贴一下这段时间直播间的销售额,09-21,3,评论中未体现明显情绪，仅陈述事实
百纳千成资讯,互动影游赛道兴起 厂商抢滩布局,09-20,4,评论提到市场兴起和厂商布局，体现积极情绪
又特么涨停了,这个就已经卖了半个小目标,09-20,4,已卖出半数目标，表明市场预期达成，属乐观倾向
股友7598t5k656,马上就是消费旺季，又是旅游旺季，现在不买更待何时？,09-20,5,积极提及消费旺季和旅游旺季，表达紧迫购买意愿
大海里找金鱼,股性不厚道！,09-19,2,评论表达对股票市场的负面评价，但未明确具体对象，情感倾向偏悲观。
股友238t2110K2,主力不想调整了嘛,09-19,3,评论中隐含对主力不调整的担忧，但未明确负面情绪
稳健医疗资讯,头部消费企业纷纷启动“大店策略”,09-19,4,启动大店策略通常被视为积极举措，可能带来市场扩张预期
寿喜锅多加牛肉,今天靠布娃娃帮我略微顶了顶账户。。,09-18,3,评论中使用网络用语'布娃娃'带有调侃意味，股价轻微上涨但无明显情绪表达
华虹半导体资讯,港股收评：恒生指数跌1.35% 华虹半导体涨超8%,09-18,3,评论中同时提及恒生指数下跌和华虹半导体上涨，整体情绪偏中性但存在分歧。
zilken,等这里没人唱空了，就说明到顶了，有人在不断唱空是好事情,09-18,5,持续唱空被看作积极信号，暗示市场可能回调，整体偏乐观。
股友36762H6u31,感觉明天要拉大线了阳,09-17,4,预期股价大幅上涨，体现乐观情绪
秋洋杨,收盆可以红吗,09-17,3,评论询问股价走势，无明确情绪判断
人在港股只玩低吸,这股又要开始了,09-17,3,评论中'又要开始'暗示趋势变化，但缺乏明确正负面信息，属中性
宝总侬好,反弹不了一点,09-16,2,评论明确否定股价反弹，体现悲观情绪
股友sGCx0y,跌到怀疑人生，就是夭折，还100多，想想，有什么硬核支撑，都是泡沫,09-16,1,评论中表达极度悲观情绪，认为股价下跌是泡沫，评分1分
牛来吖,恶心到家了,09-16,1,评论使用极端负面词汇表达强烈不满
股生丹,用了不到1亿就让韭菜们想入非非收盘260以下，明天继续低开！,09-15,1,评论中明确提到股价下跌和散户亏损，情绪极度悲观
上班摸鱼炒股主业,不想赚钱了，给我回本就卖掉你,09-15,2,用户表达对亏损的不满，希望尽快卖出股票，属于强烈悲观情绪
股市刘德华神,降息前最后的筹码,09-15,3,评论中包含'最后的筹码'，暗示市场低位，但未明确表达情绪，可能中性或轻微悲观。
金玉兴隆地孤独雁,看空的负责正确，做多的负责赚钱,09-14,3,评论客观陈述策略正确性，无明显情感倾向
追逐梦想66668888,年底破500，拭目以待,09-14,4,评论包含对股价的预期和期待，但未明确表达正面或负面情绪。
luykluyk,半年内回到175，等待验证,09-14,3,评论提及股价上涨但需验证，未明确表达情绪，属中性
百洋医药资讯,百洋医药与济坤医药达成战略合作，共推抗器官纤维化新药研发,09-13,4,战略合作通常视为积极信号，但需结合具体领域和风险判断
泡泡玛特资讯,泡泡玛特以IP助力服贸会体验升级 甜品首发打开潮流新玩法,09-13,5,评论强调IP助力和新品成功，体现积极市场反应
百洋医药资讯,百洋医药战略投资济坤医药 加码布局抗器官纤维化赛道,09-13,5,战略投资和加码布局暗示积极发展，符合乐观情绪
和辉光电-U资讯,和辉光电:北京市中伦(上海)律师事务所关于上海和辉光电股份有限公司2025年第一次临时股东会的法律意见书,09-12,3,评论未提及具体情感，法律意见书无法判断正负面
亮111111222,价值回归！,09-12,4,价值回归通常被视为积极信号，表达市场对股票被低估的乐观预期
翻倍二零二五,现在市场需要泡泡玛特证明“哪怕二手价暴跌，销量依然是超高速增长”的情况，而这个等,09-12,3,评论陈述事实，未明确表达情感倾向
股海无绿龟,看杆音说是泡泡出货量大，二手市场已经崩盘了。大家小心为好,09-11,1,评论中提到市场崩盘和警告，情绪偏向负面
甲骨文资讯,全球首富激烈争夺；三大运营商eSIM业务已在路上丨科技风向标,09-11,4,评论提及科技热点和竞争，整体积极但未明确负面因素
独立的浪之竹8,这个股顶多值五十元,09-11,1,评论明确表示股价上限为50元，属于极度悲观
股友923mf19911,转发,09-10,3,评论仅包含'转发'，无明确情绪表达
温馨的熊熊村,先跌个90%再说吧,09-10,1,评论中明确表达对股价大幅下跌的预期，属于极度悲观
股友7BvG0u,我扛不住了跌了10%我跑了，你们继续,09-10,1,用户表达强烈亏损和离场，情绪极度悲观
浙江永强资讯,【调研快报】浙江永强接待中信建投等多家机构调研,09-09,4,机构调研通常视为积极信号，但需结合具体语气判断
老姦熊,已经破了300了下一个目标1字头开始看我准不准,09-09,4,股价突破300，目标1字头，显示乐观预期
堆金成章地柳二龙,买一手是不是最低200股,09-09,3,评论陈述事实，无明显情绪倾向
一瞬一生,在哪里可以做空泡泡玛特？,09-08,2,泡泡玛特作为上市公司，可做空但需符合交易规则
尤伦斯的梦,宇宙大泡泡,09-08,1,评论包含'宇宙大泡泡'，暗示市场泡沫，情绪偏向悲观
我要开帕梅呀,245抄底，250就卖了，哭死我了,09-08,2,评论中包含抄底和卖出的矛盾操作，结合情绪词'哭死我了'，体现悲观情绪
杀伤力太大的鳄鱼,俺们河南的大妈们必须人手一个支持俺河南老乡，加油老乡,09-07,4,评论中充满支持和积极情绪，表达对家乡的热爱。
泡泡玛特资讯,LABUBU二手价全线走低！迷你LABUBU隐藏款价格腰斩，有黄牛称暂停收货,09-07,1,评论指出价格大幅下跌，暗示市场悲观预期
可怜炒股,橙色记忆20278创建了模拟组合 模拟组合7502930,09-07,3,评论中未体现明显情绪，仅描述操作行为
泡泡玛特资讯,新消费日报 | 食品安全法修正草案拟提请二审；泡泡玛特拦截假货近1000万件,09-06,4,食品安全法修订与企业假货拦截可能同时引发市场关注，但政策动向更可能驱动整体乐观情绪。
股友080Do33632,老鸭头！！！三浪运行时。,09-06,1,评论中使用'老鸭头'等负面词汇，暗示对市场或股票的强烈不满
自在zzfly,千难万难今晚抢到了周深娃娃要11月发货手里还握着12月发货的比奇堡。所以订单真的,09-06,5,用户成功抢到商品，表达对未来的乐观预期
股友0H8T692251,怎么一下就跳到312,09-05,2,评论中包含对突然跳转的不满，可能涉及股价或数据异常
股友P80u095358,指数基金不来了？,09-05,3,评论表达对指数基金的否定态度，可能属于悲观情绪
不想当败家女,啥情况,09-05,3,评论缺乏明确情感信息，可能中性
飞的是心,转发,09-04,3,转发无明确情感倾向，需结合上下文判断
股友Eo5UJr,尾盘红,09-04,4,尾盘红表明股价在收盘前上涨，属于积极信号，符合乐观情绪。
泡泡玛特资讯,后劲不足？迷你版Labubu二手价普降 有款式跌近六成,09-04,2,评论指出产品后劲不足及价格下跌，反映负面情绪
迅洋1,这个票就是庄股，专爱在万绿丛中显出它的一点红。好象超强。确实庄家完全控盘，只要不,09-03,4,评论强调庄股控盘优势，但语气偏积极，可能偏向乐观
n278313752438282,为什么要卖？真心不想指数基金成本高？,09-03,3,评论表达对成本的不满，但未明确市场预测，倾向中性
泡泡玛特资讯,LABUBU部分旧款被亏本出售,09-03,1,评论中明确提到'亏本出售'，属于极度悲观
问股何所欲,稳住,09-02,3,评论'稳住'缺乏明确情感倾向，可能中性或隐含积极意味
穿越一个大周期,其实就是一种变相，中奖了还不用交税,09-02,2,评论中带有讽刺意味，暗示某种不公平现象，情绪偏向负面
和辉光电-U资讯,和辉光电:上海和辉光电股份有限公司2025年第一次临时股东会会议资料,09-02,3,评论提及股东会会议，未明确情感倾向
豪放不羁的温日轩,泡沫,09-01,2,评论'泡沫'暗示市场过度投机，可能带有负面情绪，但需结合上下文判断。
勤奋的潘禹7,这种垃圾公仔送我都不要,09-01,1,评论中使用'垃圾'和'送我都不要'表达强烈负面情绪
股友naa6mh,给点力啊,09-01,4,评论中带有鼓励意味，但语气较随意，可能带有调侃
严峻的金色琴弦2,看月线还在山顶[大哭],08-31,1,评论中使用'山顶'暗示股价高位，结合大哭表情，明显表达极度悲观情绪
凯龙股份资讯,纾困先锋、幕后“金主”…… A股上市公司易主潮起,08-31,3,评论提及公司易主，但未明确负面或正面，需结合上下文判断。
追求卓越得含笑花,下单成功付不了款，客服敷衍了事，完成订单积分不到账，这些问题总会厚积薄发，何以支,08-31,2,用户抱怨客服态度差和订单问题，情绪负面
良品铺子资讯,良品铺子“花生上树”翻车，系误用AI生成图片｜消费舆警指数,08-30,5,评论指出良品铺子因AI生成图片导致产品翻车，属于严重负面事件，情感倾向极度悲观。
Pop_Beone,搞到一个，确实有意思,08-30,3,评论中包含中性与积极词汇，整体情绪偏中性
迅洋1,说真的，泡泡的这种营销方式，老套了。不外乎是“秒空”“百万人排队争抢”“二手叫价,08-30,1,评论多次使用负面词汇批评营销方式，表达强烈不满
等待别心急,这股总有一天会跌到几分钱,08-29,1,预测股价大幅下跌到极低水平，体现极度悲观
股友675i928v13,被我买崩了,08-29,1,评论中明确表达负面情绪，'被买崩了'表明极度悲观
万紫千红何时到,还能继续？,08-29,4,评论包含对未来的预期，带有积极暗示但不确定
傅之一炬,为什么这么难抢啊，499一个都抢不到,08-28,2,评论中表达对抢购困难的不满，但未明确指向价格或产品本身，情绪偏向悲观。
股友9G90277I68,坐等明天股价飞升,08-28,4,评论中包含期待股价上涨的积极词汇，但整体情绪偏向中性
又特么涨停了,割肉了妈的,08-28,1,评论中使用'割肉了妈的'表达极度悲观情绪
会稽闲人,泡泡越吹越大，嘭，啥都没了,08-27,3,比喻性描述，暗示事物过度膨胀导致失败
小武小武烦恼全无,回调一下，然后继续加油呀,08-27,4,评论包含积极鼓励语气，但提及回调可能暗示市场调整
天官赐福2025,吹泡泡吹泡泡，吹得高吹得大，泡泡不见了…………,08-27,3,评论描述泡泡消失的过程，无明显情绪倾向
坚持去做,这要泡太大了！最多值十块！,08-26,1,评论使用强烈负面词汇表达极度悲观情绪
坚持去做,泡泡太大了！最多八块！,08-26,3,评论中带有负面情绪，但未明确表达市场判断，可能中性或悲观。
股友o352Y95186,都不调整，直接奔400吗？,08-26,3,评论中包含对市场调整的质疑和股价上涨的期待，情绪混合但不明确。
泡泡玛特资讯,泡泡玛特线上首发多款新品 价格疯涨 瞬间售罄！网友：“简直比黄金还离谱”,08-25,5,价格疯涨和售罄引发强烈正面情绪，网友感叹离谱，符合极度乐观判断
我爱这股,转发,08-25,3,转发无明确情绪倾向，需结合上下文判断
股友29m1158k99,日本的宝可梦、万代，西方的Hellokitty就不是智商税？为啥中国出了一个影响,08-25,4,评论中提到日本和西方IP非智商税，但中国IP出现影响，整体偏积极
信不信自辩,分红不多，净资产不高，股价到是挺高。,08-24,2,评论指出分红和净资产不足，但股价较高，整体偏负面
北京中登律师事务所,股友OqPznZ4849创建了模拟组合 模拟组合7503024,08-24,3,评论未提及具体情感，仅描述创建模拟组合，无法判断情绪
KaK2KK,牛啊，创源都上央视了！全球首个文化用纸金融衍生品即将上市，创源40+没问题！不白,08-24,5,评论全为积极词汇，突出创新和成功，明显乐观情绪
泡泡玛特资讯,今年股价涨幅超258%，泡泡玛特首度入选恒生指数,08-23,5,股价大幅上涨且入选指数，明显积极情绪
名创优品资讯,“娃衣经济”与AI潮玩崛起，一图速览行业投资新风向,08-23,5,评论提及新兴行业趋势，整体积极
乐观豁达的土豆,这周机会来了，今日高开启中阳线,08-23,4,评论中提到'机会'和'中阳线'，整体积极，属于乐观情绪
欣月1976,别人贪婪，我恐惧。坚持观点，不下跌到300以下，坚持不入仓。,08-22,2,对比他人贪婪与自身恐惧，体现悲观立场
股友359l696m78,泡泡玛特海外盈利提高。全球范围不香吗？赛过当年的茅台。,08-22,3,评论提及盈利提升但用比喻暗示负面，整体偏中性
股友21098n13D3,跌吧求求了，能不能给补仓机会,08-22,1,评论中包含强烈负面情绪，表达对股价下跌的不满和对补仓机会的请求
n278313752438282,再来个明星挂点别的啥，不就又热了？反正店都铺好了。,08-21,3,评论中带有调侃语气，未明确表达积极或消极情绪
股峰潘登者,泡泡玛特上半年营收猛增两倍多、净利暴涨四倍，今天股价又创高，盲盒帝国真的要一路冲,08-21,4,评论强调业绩增长和股价上涨，但末尾提及'冲'可能隐含市场过度乐观，整体偏积极但存在谨慎态度。
n798913897527558,泡泡玛特很少大阳接着大阳，会因为迷你拉布布爆款而改变吗,08-21,2,评论指出泡泡玛特股价波动小，暗示市场信心不足
泡泡玛特资讯,泡泡玛特迅速拉升涨逾4%,08-20,4,股价快速上涨，反映市场积极预期
泡泡玛特资讯,泡泡玛特直线拉升一度涨超4%,08-20,4,股价快速上涨表明市场积极预期，属于乐观情绪
泡泡玛特资讯,泡泡玛特快速拉升，现涨超4%,08-20,4,快速拉升且涨幅显著，表明市场情绪积极，但需结合其他因素判断
股友10937oV763,会红盘吗,08-19,3,评论未明确表达判断，仅提出疑问
泛又泛,I谷子经济泡泡玛特中报业绩大幅增长几倍，浪浪山小妖怪ip潜力巨大。,08-19,5,评论整体积极，提及业绩增长和IP潜力
成大器01,顶峰来了,08-19,4,评论中的'顶峰'暗示股价即将达到高位，属于积极预期
