author,comments,update,sentiment_score,analysis_think
冲冲灵,补跌,10-22,1,评论中的'补跌'暗示市场可能继续下跌，属于极度悲观情绪。
德鲁大叔23,恒生受外围影响挺大的，短期震荡是难免的,10-22,3,评论提及市场波动但未明显表达情绪
今年赚五千万,太好了，继续洗盘,10-22,4,评论包含积极词汇但提及洗盘，可能隐含市场调整，需综合判断
哔哩哔哩-W资讯,恒生科技指数涨超3% 哔哩哔哩涨超9%,10-21,4,指数上涨反映市场乐观，但缺乏具体原因，可能中性或乐观
德鲁大叔23,执着于这里，会错过邓恒生科技的机会，也会错过工业金属的趋势行情，所以昨天尾盘进是,10-21,2,评论中提到错过机会，语气偏悲观
股友EaNzzh,小红书准备ipo了，最新估值400亿刀，b站比小红书值钱，我的看法。,10-21,3,评论提及IPO和高估值，但对比B站的估值可能隐含负面情绪
股友61p31652C3,春风又绿江南岸…,10-20,4,诗句描绘春景，隐喻市场回暖，属积极情感
今年赚五千万,可以跳水了，开始洗盘,10-20,4,评论提及股价下跌和洗盘，可能预示市场预期，但需结合上下文判断
安东妮,现价卖，快走，关注我带你们吃肉,10-20,4,评论包含获利暗示和行动指令，整体积极但带行动导向
阿里巴巴资讯,人工智能“身兼多职” 中国“双11”购物节升级,10-19,4,评论提及人工智能应用和电商升级，整体积极
我不想努力了阿姨,有什么利好能心灵按摩一下吗？,10-19,3,评论中未提及具体利好信息，但带有调侃语气，可能隐含乐观或中性情绪
Nico雍,新游戏是不是排第一了,10-18,3,评论中未体现明显情绪，询问排名情况，属中性
吵股哇,你凭什么算科技,10-18,2,评论中带有质疑和贬义，但未达到极端悲观程度
哔哩哔哩资讯,重新发现长内容价值,10-18,4,评论中包含'重新发现'，暗示内容价值被认可，但'长'可能隐含负面，整体偏积极。
风行万里333,资是长期看好港股科技,10-17,4,评论明确表达对港股科技的长期看好，属于积极情感
图腾1949,乘风破浪的小B站，冲,10-17,4,评论中'乘风破浪'和'冲'体现积极向上的进取精神，整体情绪偏向乐观。
哔哩哔哩资讯,B站旗下游戏《逃离鸭科夫》正式发售,10-17,4,B站游戏发售可能引发期待，但无负面信息，倾向乐观
股友375z71c191,大概率开始中期下跌趋势,10-16,2,评论提到中期下跌趋势，暗示市场预期负面，但未明确确认，属于中性偏悲观
盯住龙头,我看至少要跌到20开头,10-16,3,评论中提到股价下跌到20开头，表达对市场走势的担忧，但未明确具体股票或指标，情感倾向偏悲观。
江边海燕,玩意。,10-16,2,评论使用贬义词，表达负面情绪，但程度较轻
今年赚五千万,做t就赚了,10-15,4,评论强调短线交易能赚钱，但未提及风险，属积极态度。
北凉好个秋,拉完了,10-15,3,评论中的'拉完'可能指股价上涨，但需结合上下文判断
股友Y31261165I,ig要是赢了今天就起飞了,10-15,4,评论包含积极条件句，但未明确提及负面因素，整体情绪偏向乐观
奥力给给,砸，我看你能砸几个点,10-14,2,评论中使用'砸'字带有负面情绪，但后半句可能带有调侃，整体仍属悲观
妹妹深情,你真牛,10-14,5,评论使用'牛'字表达高度褒义，属于积极情感
基民BKuZvG,2000是底,10-14,3,评论陈述价格水平作为支撑点，无明显情感倾向
rnln,技术总和副总全部换人，b站最近变化还是挺大的,10-13,3,评论提及管理层变动但未明确影响，属中性
我不想努力了阿姨,我的v5不保了,10-13,1,用户明确表达对产品版本的担忧，涉及支持终止，属于强烈负面情绪
基民F9Aicp,抄底,10-13,4,抄底通常被视为积极的投资策略，但需结合上下文判断
我不想努力了阿姨,叔叔对美出口了什么,10-12,3,评论缺乏明确上下文，难以判断情感倾向
韭韭特时代先锋,虽然一直用bilibili，也持有b站股票，但是b站现在的内容是越来越垃圾了，刷,10-12,2,评论指出B站内容质量下降，表达负面情绪
山寨强,周一恐怕要干到202，瑟瑟发抖！,10-12,1,评论中表达对未来的极度担忧
有决策力的姚珂1,加仓机会来了，考验各位胆量的时候到啦,10-11,4,评论包含积极信号但带有挑战性，整体偏乐观
怎么没声音,下周一估计要跌7个点以上,10-11,1,预测大幅下跌，体现极度悲观
豪放不羁的陆颜影,完美的双顶,10-11,2,双顶是技术分析中的卖出信号，通常被视为市场超买，属于负面技术指标
股友80NQ133868,会不会下周一触底反弹？已经30日均线了，如果再跌，就割了,10-10,4,评论中包含对反弹的期待和对回调的谨慎，整体情绪偏向乐观但存在风险。
有决策力的姚珂1,又到了散户害怕时间，跟猴儿似的哈哈，一天膨胀，一天吓死,10-10,3,评论中带有幽默调侃，但提及市场波动和散户恐慌，整体情绪偏向悲观
英伟达资讯,隔夜外盘：美股三大指数集体收跌 纳斯达克中国金龙指数跌2.03%,10-10,1,美股三大指数集体收跌，纳斯达克中国金龙指数下跌2.03%，市场情绪悲观
超威半导体资讯,特朗普：加沙停火协议“非常接近达成”，本周末或去中东；美联邦政府继续停摆；国庆假期超24亿人次跨区域流动；国庆档电影票房破18亿丨每经早参,10-09,3,评论未直接涉及股市或市场情绪，信息分散，无明确情感指向
哔哩哔哩-W资讯,截至二零二五年九月三十日止股份发行人的证券变动月报表,10-09,3,评论未提供明确情感信息，仅陈述事实
温柔的割韭手,kfc怎么敢来打广告的，这里是华莱士的天下,10-09,1,评论强烈批评肯德基进入华莱士市场，表达极度不满
有决策力的姚珂1,吓死喽哈哈哈，散户像蚂蚱一样,10-08,1,评论中使用强烈感叹词和比喻，表达极度恐慌情绪
今年赚五千万,这行情，普通人老老实实的买白酒吧,10-08,3,评论中提到市场行情和白酒股票，语气中性但隐含乐观
赤峰黄金资讯,港股速报 | 港股三连跌 黄金股继续走强,10-08,2,港股三连跌引发担忧，黄金股走强但整体负面情绪占主导
麻瓜太狼,美股跌了，明天继续一碗面,10-07,3,评论提及美股下跌，但用'一碗面'缓解情绪，整体偏中性
彩虹糖星星来咯,东方证券9月1日评价，目前已经突破211了,10-07,4,股价突破211点，未提及负面信息，属中性或乐观
豪放不羁的陆颜影,明牌的双顶，还不服？,10-06,3,评论提及技术分析信号但带有情绪化质疑，整体倾向中性
携程集团-S资讯,刚刚 跳水！发生了什么？,10-06,1,评论使用'跳水'表达强烈负面情绪，暗示股价暴跌，符合极度悲观的特征。
股友22X28621d7,快开盘了，假期的利好全集中在硬件，半导体，电池方向，游戏开盘也是横盘，陪跑的货，,10-06,3,利好方向集中但游戏板块表现不佳，整体情绪中性
年年广进的李寻欢,刚看完B站中秋晚会，越来越差了！感觉明天股票怕悬了…,10-05,4,评论中表达对股票的担忧，情绪为悲观
股友p9y6c6,中秋开市吗,10-05,3,中秋是否开市需结合具体日期判断，但通常节假日休市，评论可能隐含对股市状态的推测。
哔哩哔哩资讯,申城漫展热力全开：《原神》《星铁》《第五人格》《光与夜之恋》打破次元壁,10-04,3,评论描述活动热度但未提及具体股票，无法确定情感倾向
使徒行者花无缺,B站股价看点《守护解放西6》开播！周一股价直接突破前高，随后一路上攻内容端有爆款,10-04,4,评论提到股价上涨和爆款内容，暗示积极情绪
我不想努力了阿姨,早知道上个月调阿里巴巴了,10-03,3,评论中包含'早知道'暗示遗憾，但缺乏具体事件背景，可能属于中性或悲观
快手-W资讯,港股收盘 | 科技指数本周累计涨近7% 黄金股领跑市场,10-03,4,科技指数上涨7%且黄金股领跑市场，整体呈现积极情绪
豪放不羁的陆颜影,完美的双顶,10-03,3,双顶是技术分析中的卖出信号，通常被视为市场超买，但评论者认为其'完美'可能包含中性或乐观倾向。
兴趣使然的韭菜,都230了，238不突破说不过去了,10-02,4,评论表达股价无法突破关键阻力位，暗示市场压力，属于悲观情绪。
一起炒美股,这个比快手弱多了，比起科技股更是垃圾,10-02,3,评论中使用了负面词汇，但未明确指明是否同一股票，需结合上下文判断。
Jzcs,要求不高，收盘跑赢恒科就行,10-02,4,评论中提到跑赢恒科，暗示积极表现，但整体情绪中性
我不想努力了阿姨,赚了人家的钱应该多支持一下公司,10-01,4,评论鼓励支持公司，隐含积极态度
喜欢上投资,董秘在吗公司是否考虑收购阅文集团？这样有IP有平台，影视化游戏化再开发周边潮玩强,10-01,4,评论提及收购可能性，但未明确确认，潜在积极信号
skyship,怎么这么弱啊，这可是不受制裁的呀，快点雄起来啊,09-30,1,评论中表达强烈不满和负面情绪
一个人的千军万马,太厉害当初就看到这里，可惜没这命....,09-30,2,评论包含积极和消极情绪，但主要情绪为遗憾
忘悸海,国庆最后一波火速大涨,09-30,4,国庆节后市场情绪高涨，火速大涨反映积极预期
冬冬冬冬冬冬,买早了。应该等到190进,09-29,3,评论中包含买早的肯定和建议等待的否定，整体中性
股友91w58K3067,211.2收盘,09-29,3,评论仅陈述股价收盘值，无明确情感倾向
熊猫大侠2024,我今天才算看明白了，外卖大战最受益的实际上是b站，高德扫街也在b站上面做广告，前,09-29,5,评论肯定B站在外卖大战中的优势，表达积极情绪
低吸666,诱空,09-28,1,评论指出某人通过虚假信息诱使投资者卖出，属于市场操纵行为，极度悲观
买就跌割就涨,天啊，b站竟然开始盈利了,09-28,5,评论表达对B站盈利的惊喜，情感积极
隐隐约约你,只要有凡人在，就还能撑几年。没有凡人我不可能大会员,09-27,4,评论中隐含对市场稳定的担忧，但语气略带幽默，整体倾向乐观。
无畏的欧熠素,抄底哈哈哈哈,09-26,4,评论中包含'抄底'（积极词汇）和'哈哈哈哈'（幽默语气），整体情绪偏向中性或乐观
五年生物烂药之神,坐稳扶好，起飞了,09-26,4,评论中包含积极词汇'起飞'，但前半句带有谨慎意味，整体情绪偏中性
养鸡成不了帝,这就打回原形了,09-26,1,评论使用'打回原形'表达对现状的强烈负面情绪
湖南人投资老龄化,跳水，睡觉,09-25,1,评论包含'跳水'和'睡觉'，均体现市场情绪低迷，属于极度悲观
小红李三,内在价值120,09-25,3,评论仅提及内在价值数值，未明确情感倾向
master法师,加速，加速！直接上2500！,09-25,5,评论使用强烈积极词汇暗示股价将大幅上涨
ChrisUnitedKing,昨天加仓游戏，坐稳扶好,09-24,4,评论包含积极词汇'加仓'，但'坐稳扶好'可能隐含谨慎态度，整体情感中性偏乐观。
master法师,马上放假了，不得玩游戏嘛,09-24,3,评论提及放假和游戏，可能隐含对假期活动的期待或调侃，情绪中性。
风度翩翩的爱清平,为啥股东一直在减持，等机会,09-24,3,评论陈述市场行为，无明显情绪倾向
兴趣使然的韭菜,又过山车了，怎么上去的怎么下来,09-23,3,评论表达对市场波动的无奈，但未明确负面情绪，可能中性
平和的何琦,没想到是一个垃圾,09-23,3,评论中带有负面情绪，但未达到极端悲观程度
我不想努力了阿姨,左脚踩右脚螺旋下跌,09-23,2,比喻股市持续下跌，表达悲观情绪
有礼貌的凌禹11,希望哔哩哔哩给个机会让我入场,09-22,4,用户表达希望获得入场机会，可能带有积极期待，但需结合具体上下文判断
了不起的盖茲比,量化,09-22,3,评论'量化'缺乏明确情感倾向，可能中性
兴趣使然的韭菜,又要震荡2个月了,09-22,3,评论中包含'震荡'，通常与市场波动相关，属于中性描述但隐含负面情绪
后山树枝哥,blg冠军！！,09-21,5,评论中使用'冠军'表达胜利，属于积极情感，故打5分
富临上五十,一看盘，我居然盈利68个点了。可不可以跌一点归去,09-21,4,用户表达盈利满足，但最后提及希望股价下跌，可能带有矛盾情绪，整体偏积极。
宇哥C,港股可以关注下BLBL，在底部，等风来即可。,09-21,3,评论提及港股底部和等待时机，暗示市场情绪低迷但未明确乐观
哔哩哔哩资讯,互联网内容创作者汇聚上海 探索网络视听无限可能,09-20,4,积极词汇如'汇聚'和'探索'暗示行业前景广阔
哔哩哔哩资讯,干杯 复兴岛！哔哩哔哩首个“干杯音乐节”10月岛上见,09-20,3,评论提及娱乐活动但未直接关联股票市场表现，缺乏明确情感线索
真lilive,陈减持了吗？,09-20,3,询问事实而非评价，无明显情感倾向
丽园路,几天没看了，咋还没跌呢？。。。,09-19,2,用户对股价未下跌感到疑惑，隐含失望情绪
股友XE5mSy,还好红了,09-19,4,评论中的'红'通常指股价上涨，'还好'可能暗示轻微负面，整体偏积极但略带无奈
喵了个咪喵,大盘都过了10月8日的顶了，你确还没突破,09-19,4,评论暗示股价可能在高位震荡，表达谨慎态度
股友kXEBaj,今天这个收盘市值好，期待你未来变成8888,09-18,4,评论中提到市值好且期待未来上涨，整体偏积极但带有夸张语气。
韭韭特时代先锋,何意味？根本不卖,09-18,3,评论中包含疑问和否定语气，可能表达对当前决策的不满或反对
喵了个咪喵,主升就这么结束了？,09-18,1,评论表达对行情结束的失望，暗示悲观情绪
股友3038k3Q681,求求你不要撤单,09-17,2,用户表达不满，但未明确负面情绪，可能属于中性或轻微悲观
股友XE5mSy,板块倒数,09-17,2,评论中'板块倒数'暗示该板块表现不佳，属于负面情绪
股友XE5mSy,220有什么魔咒吗，不能上去吗,09-17,5,评论中使用'魔咒'和'不能上去'表达强烈负面情绪，暗示股价受制于某种不可逾越的障碍，属于极度悲观。
认真的赚钱,阿B的尿性再次展现,09-16,2,评论中带有负面情绪，暗示某种不良行为的重复出现，但未明确表达强烈情绪。
awonpin,做个t，全部换成快手，看看有没有补涨的机会,09-16,3,评论涉及投资策略建议，未体现明显情绪倾向
山寨强,219.6先清了，留下的发财！,09-16,4,评论中包含积极情绪，暗示获利后满足，属于乐观情绪。
温柔的割韭手,我擦，我还没上车啊,09-15,1,口语化表达透露出强烈失望和焦虑
好运自然来xxq,难受,09-15,3,评论'难受'表达负面情绪，但未达到极度悲观程度
我芦本伟没有开挂,接着奏乐，接着舞,09-15,4,句子描述市场走势连续上涨，隐含积极情绪
巨人网络资讯,超配游戏板块！公募发掘游戏股增量机会,09-14,5,评论使用积极词汇如'超配'和'增量机会'，表明强烈乐观情绪
股市论英雄,买个会员压压惊,09-14,3,评论中含'压压惊'暗示情绪调节行为，未明确表达市场情绪
山寨强,虽然周五走得没那么完美，但是我们要关注一个事实，周五美股收盘价格已经明显高于7月,09-13,3,评论提及市场表现但未明确情绪倾向
阿里巴巴资讯,《MIT科技评论》“50家聪明公司”发布，Deepseek、游戏科学入选,09-13,4,MIT权威榜单入选公司通常反映市场认可，深思熟虑的乐观情绪
阿里巴巴资讯,全球顶尖大脑齐聚上海 “50家聪明公司”评选结果揭晓,09-13,4,评论提及评选结果和全球认可，暗示积极评价
细腻的周宇航,还行吗？,09-12,3,评论中的'还行'表达中性态度，没有明显的情绪倾向
基民r39u0L,早上197跑了,09-12,2,评论中提到'跑了'，暗示股价下跌，属于负面情绪
股友O7v9732720,今天还创新高了,09-12,5,股价创新高属于积极信号，符合极度乐观评分
割的不够深,总不至于还要补缺吧,09-11,2,评论中带有否定语气，暗示公司可能面临困难，但未明确表达极端悲观
基民Ao3mOz,大摩又出来了，先跑了,09-11,3,评论中包含'先跑了'，暗示用户对产品不满，但未明确情绪强度
温柔的割韭手,碧蓝之海，值得充大会员,09-11,4,评论中明确表达对会员服务的积极态度，属于乐观评价。
基民8FYgpo,真是让人陌生。,09-10,2,评论中使用'陌生'表达负面情绪，可能属于悲观或中性
进击的棉花糖,谁上次说的m顶来着，站出来。你不出来我喊你一年。,09-10,1,评论中带有强烈的指责和愤怒情绪，反映极度悲观
了不起的盖茲比,明明是个W底！,09-10,4,评论确认W底形态，暗示市场可能反弹，属于乐观情绪
小硕鼠,继续拿吧，机器人还可以：小硕鼠钳工,09-09,3,评论中包含积极和贬义词汇，整体情绪中性
IDers,再次站上180，这次不一样嘛，前面4次都是2-3天立马掉到170,09-09,3,评论者对这次表现有质疑，但未明确积极或消极，可能中性或轻微悲观。
股友25337Mc578,今天建个仓位,09-09,3,评论中未提供具体股票或市场信息，仅提及'建仓位'，无法判断情感倾向
年年的童话,大伙帮忙看下买卖一千股手续费193左右这个算高吗？,09-08,1,手续费193元/千股，按0.1%费率计算需193000元成交，属于较高水平
我不想努力了阿姨,涨到250给阿姨一个面子,09-08,2,评论中带有讽刺意味，暗示股价上涨未达预期，可能带有负面情绪。
高效的施添申,哔哩哔哩上线原声翻译功能并开源该模型，股价要暴涨了！,09-08,5,评论明确提到股价暴涨，且提及技术突破和开源，属于极度乐观情绪
腾讯控股资讯,股市特别报道丨今年以来港股公司回购超1200亿港元 ，腾讯控股蝉联港股“回购王”,09-07,5,港股回购超1200亿港元，腾讯蝉联回购王，体现市场信心，属积极信号。
三倍做多恒生科技,好大的M头呀,09-07,2,评论中提到'M头'，暗示股价下跌，带有负面情绪，但程度较轻。
金瑞长盈,1.京东物流于9月8日调入恒生指数2.京东物流9月5日尾盘交易入了3亿的资金筹码,09-07,4,调入指数和大量买入通常被视为积极信号
三倍做多恒生科技,大大的M头,09-06,1,评论使用'大大的M头'描述股价下跌，明显带有负面情绪
股友UpSmdb,下周过180元，月底到200元。,09-06,5,预测股价上涨，无负面信息，属于极度乐观
腾讯控股资讯,ESG信披观察｜一年调查221起贪腐案、拉黑31家合作方ESG报告里记录互联网大厂的反腐数据,09-06,3,评论提及反腐数据但包含负面合作方信息，整体情绪中性
总是选错,跟你刚到底了！操,09-05,5,评论中使用强烈情绪词汇，表达对股价下跌的不满
布布溜街子,去年高点还没过去了，还是有向上的空间了,09-05,3,评论提及高点未过去但仍有向上空间，情绪中性
知行合一886,你是啥都不跟啊。。。独立行情，牛,09-05,3,评论中带有负面情绪，但包含积极词汇，整体倾向中性
阿里健康资讯,港股科网股集体走强 阿里健康涨超5%,09-04,5,港股科网股集体走强，阿里健康涨超5%，表明市场乐观
我不想努力了阿姨,……,09-04,3,评论内容为空，无法进行情感分析
兴趣使然的韭菜,跌少了，明天补跌,09-04,2,评论暗示股价将继续下跌，属于悲观预期
股友22X28621d7,刚来的很多吧，给你们说下游戏的套路。大盘回调时，游戏拉升，吸引人气，然后冲高回落,09-03,3,评论描述市场策略但无明显情绪倾向
山寨强,加仓,09-03,4,加仓通常被视为积极的投资行为，暗示市场预期乐观
理想汽车资讯,纳斯达克中国金龙指数收涨0.52%,09-03,3,指数小幅上涨，但涨幅有限，属于中性偏乐观
清风雨溪,别的科技跌是因为大涨过。游戏涨过么？烂泥扶不上墙,09-02,2,评论批评科技股下跌和游戏行业状况不佳，表达负面情绪
浮生小子,能不能涨一次，裤衩子亏没了,09-02,1,极度悲观，因股价下跌导致亏损
基民8FYgpo,反弹结束了，是吗？,09-02,4,评论暗示反弹结束，可能带有悲观情绪
我不想努力了阿姨,这个线怎么这么难看，诱多，诱空？,09-01,1,评论使用负面词汇描述技术分析问题，表达强烈不满
熊猫大侠2024,关于b站，我有一点还是想不通，公布业绩的第2天大跌，所以说那批人打压不是蠢就是坏,09-01,4,评论中带有贬义，但未达到极端悲观
sutobe,大、小摩压单，煎熬,09-01,1,大、小摩压单，煎熬
ali阿力,"上周四开仓,做了两天,成本到了72.8",08-31,3,评论未表达明确情绪，中性
我不想努力了阿姨,中概互联要起飞了？,08-30,3,评论包含积极词汇但缺乏具体数据支持，难以确定情感倾向
熊猫大侠2024,我的港股三剑客：B站、商汤、阿里，分别持仓10％、60％、10％，现金20％，后,08-30,4,用户明确提及持仓比例，未表达负面情绪，体现对三剑客的看好
浩plz铮,年轻人就爱逛B站，AI帮忙做视频搞推荐，社区活力更足了，港股通恒生科技ETF多加,08-29,4,评论肯定社区活力和AI技术，但未提及负面情绪
我是弱庄,有本事继续跌啊,08-29,4,评论中带有对股价继续下跌的预期，但语气略带调侃，整体情绪偏向负面但不极端。
院子有香椿树,下午开始你的表演,08-29,3,"error:Expecting ',' delimiter: line "
junima,不知道怎么说了，有点像割，但又不知道买啥，就先放着吧,08-28,3,评论表达犹豫和消极，但未明确强烈情绪
梦想仗剑走天涯,看看图形，形成了双顶，要小心了！,08-28,3,双顶是技术分析中的卖出信号，评论中带有警告但未明确否定趋势，属于谨慎态度。
知行合一886,别人都v起来红了，你是头都不回啊，到底有啥大利空啊,08-28,3,评论中提到'大利空'，但未明确原因，情绪偏向负面但未完全绝望
sutobe,178我来接，下来吧,08-27,3,评论包含市场操作指令，但未明确表达情绪，需结合上下文判断。
蝉中说蝉股市风云,继续跌！做空！,08-27,1,评论包含'继续跌'和'做空'，明显表达极度悲观情绪
总是选错,又开始一天的痛苦模式！就跟你耗了～,08-27,1,评论使用负面词汇表达持续悲观情绪
进击的棉花糖,虽然买它有小半年了，但是有些问题我还是不懂，希望有网友给下专业的解释。1.凡人和,08-26,3,用户表达困惑但未明确强烈负面情绪，可能中性
股友695633P7m7,哎，重仓套牢，损失惨重,08-26,1,重仓套牢，损失惨重，极度悲观（1）
IDers,179小买300股,08-26,3,评论未表达明确情感，仅陈述交易行为
小马过河777,最近是吃肉没吃到挨打没落下,08-25,3,评论中存在收益与损失的矛盾表述，整体情绪中性
我是xx,空单平仓就是疯狂拉升的时候,08-25,4,评论强调空单平仓与股价拉升相关，暗示市场情绪积极，但未明确风险，倾向乐观。
汤姆猫资讯,8月173款游戏版号获批 政策延续回暖年内版号下发已破千,08-25,4,评论提及版号获批数量增加和政策延续，反映行业回暖，属于积极信号。
我不想努力了阿姨,充了大会员就是猛,08-24,2,评论中'猛'可能指会员费用高或权益多，需结合语境判断
炒股养娃ABC,气死了，买了你给我亏6个点。周一就割肉，该去埋伏旅游股了。国庆只有一个月了，不在,08-24,1,评论中明确表达极度不满和亏损，情绪极悲观
我不想努力了阿姨,空头好猛,08-24,2,评论用'好猛'形容空头行为，表达负面情绪但未到极端程度
哔哩哔哩-W资讯,港股公司信息更新报告：Q2业绩高增，看好平台商业化及游戏业务加速成长,08-23,4,评论提到业绩高增和看好业务增长，整体积极但未使用强烈词汇
从惑到不惑,今天更的凡人修仙传，同时在线多少人?我一点才想起来去看，当时20w人,08-23,4,评论中提到20万观众在线，表达对直播热度的惊讶和兴奋，属于积极情绪。
黄小侠,港股走势是不是抄美股作业？一模一样,08-23,2,评论用'抄作业'比喻港股与美股相似，暗示负面评价
我不想努力了阿姨,既然你们不信那就互道s，b吧,08-22,2,评论中带有不信任意味，但未达极端悲观程度
山寨强,可以加仓了,08-22,5,评论包含加仓建议，暗示市场看涨，属于积极信号
有领导力的卢湘8,至少跌10个点,08-22,3,评论暗示股价将大幅下跌，属于负面情绪
院子有香椿树,美国盘中会到—10个点以上，我瞎猜。,08-21,1,用户明确表达对市场走势的负面预测，带有强烈不确定性，符合极度悲观的特征。
有责任心之腊梅,开盘跌6个点,08-21,1,开盘跌6个点属于明显下跌，反映极度悲观情绪
股海一破船,超预期，明天至少10个点,08-21,5,评论包含积极词汇'超预期'，且提及明确的上涨幅度，符合极度乐观的特征
股友w206x36177,早上一根直线就是股东在里面给你们信心，财报很好，明天带你们吃肉！,08-20,5,评论中包含积极的市场信号和信心表达
股友DyoYe2,今天发财报还是明天,08-20,3,评论未明确表达褒贬，仅陈述事实
喵了个咪喵,199就冲不上去了吗？,08-20,2,评论中表达对股价上限的担忧，带有悲观情绪
清云子,祝愿B站像韩立一样厚积薄发，走向巅峰！,08-19,5,评论使用积极词汇祝愿B站成功，表达乐观情绪
你哇得都对,不要怕，这几天应该没有问题,08-19,4,评论中带有积极预期，但存在不确定性
股友kXEBaj,虽然我买了b站的股票，但非常不希望blg这种队伍拿到成绩。希望b站马上解散lol,08-19,3,评论中表达了对B站股票的担忧，但未明确否定股票本身，可能属于中性或悲观。
哔哩哔哩-W资讯,港股小幅高开 科网股全线上涨,08-18,3,评论描述市场小幅上涨，但未体现明显情绪波动
数字势能,这是八万亿的盘子吗？这么稳？,08-18,4,评论中包含对市场稳定的肯定，但存在疑问语气，整体情感偏向乐观。
院子有香椿树,这操盘水平牛逼的很,08-18,4,评论使用积极词汇表达对操盘水平的赞赏，但未明确负面或正面极端程度
平和宁静的袁衍慕,这波可以看300吗,08-17,4,评论中包含积极的看涨预期，但未明确市场情绪，需结合上下文判断。
股友1087519Zi9,B站此番结婴，修仙到了什么水平，股价先上300？真心求教在线等。,08-17,5,评论中带有调侃和期待，整体表达对股价上涨的乐观预期
青亭岛伯爵,道友们明天这要起飞了,08-17,4,评论使用积极词汇鼓励投资，可能带有乐观情绪
股友290d969c29,退市吧，万众期待的韩立结婴你在这掉链子，全都进不去，酝酿了这么久热度拉满，一点准,08-16,1,评论中明确表达对股票的极度失望和负面情绪
好好做个普通人,韩立带着b站一路飞驰,08-16,4,评论描述韩立投资B站，可能暗示看好其前景，但无明确负面信息，倾向乐观。
我不想努力了阿姨,中概要是能回到四年前巅峰就好了,08-16,1,评论表达对中概股未能回到过去巅峰的遗憾，隐含强烈负面情绪
我是弱庄,今天一碗大面是免不了了,08-15,2,评论用'免不了'表达市场低迷，隐含无奈，属于悲观情绪
Hlodon,哔哩哔哩不会去做外卖，冲,08-15,2,评论暗示哔哩哔哩不进军外卖领域，带有负面情绪
囧囧囧888,要调整了，耐心等待，跌下来再低吸,08-15,4,评论包含调整和等待，但后半部分有低吸信号，整体偏乐观
兴趣使然的韭菜,感觉中报应该业绩不错,08-14,4,评论中提到'业绩不错'，表达积极预期，但用'感觉'略显主观，整体偏乐观。
我是xx,怎么不冲了,08-14,2,评论者质疑未买入行为，表达不满但未达极端悲观
