author,comments,reply_comments,reply_authors,update
电信卡已,买了华夏有色C后，顺手配了点富国上海金ETF联接C黄金和有色本就同频，它还有位1,,,10-27
电信卡已,买了华夏中证细分有色金属产业ETF联接A，顺手配了点富国上海金ETF联接C老船长,,,10-27
电信卡已,手里有华夏有色金属D，顺手配了点富国上海金ETF联接C——老将掌舵，10年经验稳,,,10-27
王kmMCTl,全红就是你绿,,,10-27
小花儿888,$食品饮料ETF(SH515170)$,,,10-27
及时雨818,开始表演了,,,10-27
股友alS1rU,今天别的板块个股都涨那么好，你还有脸跌，要点脸不,,,10-27
及时雨818,今天加了这个位置只进不出,,,10-27
基民4ODpQj,躲牛市里喝酒！,,,10-27
股友9mfm7Y,食品饮料板块涨，你食品饮料ETF天天跌,,,10-27
勇敢坚毅的吴睿博,逼崽子,,,10-27
娱乐财富,满了,,,10-27
股友39n2X77039,科技回调，消费主力是个废柴,,,10-27
及时雨818,老子不信你的成本负数不赚钱不走,,,10-27
基民19A32E9566,服了,,,10-27
股友9NGfAr,能多跌点么，别磨叽,,,10-27
股友SoGFD4,死垃基，6毛钱再也回不去了吗,,,10-21
hk9jwhunmwa,18亿不少了,,,10-23
基民kG4oiD,我也准备下周买入了,,,10-25
胡汉三321,尾盘是恶心人的吗？这个位置还砸?都是带血的筹码,,,10-24
n14084112228ff62,券商股稳指数拉688256一众垃机,,,10-24
和气暴富的雪舞,什么人在这个位置疯狂卖出？有病吧,,,10-24
股友SoGFD4,汪汪队反复拉假科技，质优股死水一样,,,10-24
股友alS1rU,别的板块回调是涨多了，你又没涨，你跌个锤子啊,,,10-24
我不要跌停板,券商媒体都是忽悠，忽悠接盘食品饮料，转头自己还是加仓买科技,,,10-20
娱乐财富,满仓套了,,,10-24
股海水翻翻,这货彻底没救了！,,,10-24
龙域领主,玩呢,,,10-23
小夏子2023,食品饮料ETF（515170）持续获得资金青睐，连续9个交易日净流入,,,10-23
风轻云淡Dmm,去年9.24那发高点大盘在3674点而今年大盘己到达3900点了而此基落后大盘百,,,10-22
无聊一整天,三年跑输本身跟踪的指数12%。这基金经理得有多么烂啊。远离！,,,10-22
小夏子2023,“吃喝板块”分化中寻机遇，食品饮料ETF（515170）连续8日净流入合计超18,,,10-22
股友alS1rU,不涨也不跌，真磨人,,,10-22
东财网友9229513794376196,这家伙未老先衰，机构庄家看好的不多，基本上都是散户在盘中相互残杀，除非放大量上涨,,,10-21
n14084112228ff62,比603388好点,,,10-21
hk9jwhunmwa,这家伙你不长也就算了还砸盘,,,10-21
龙域领主,交易量：2个亿，瞎折腾什么呢,,,10-21
我不要跌停板,科技股潜力无限，都是忽悠,,,10-21
恭喜发财de上官小仙,你是昏迷了？,,,10-21
股友ymxEIs,天天就这样织布吗？,,,10-21
我不要跌停板,没戏了，消费有什么前途，尤其是白酒，谁喝啊,,,10-21
股友alS1rU,垃圾东西,,,10-20
hotman731,轻仓，就这样吧,,,10-21
孙耀锋,调仓吧，别的股涨，他不涨,,,10-21
阮经天,真弱，不举，着实可怜,,,10-21
小夏子2023,券商看多“吃喝板块”后市，聚焦白酒与高增细分赛道,,,10-16
双双来了,目前主力在对倒放量，吓跑散户…,,,10-20
双双来了,今天开始低吸建仓食品饮料…,,,10-20
hk9jwhunmwa,这如何是好啊，套的模板了,,,10-20
迷人的邱兰芳,东鹏饮料从上市30元涨到300多元，现在这个基金又高位接盘东鹏饮料，这是专来坑害,,,10-20
老豆说,一夜入秋…,,,10-18
小夏子2023,机构切换“吃喝板块”，食品饮料ETF（515170）一周“吸金”12亿,,,10-20
股友9NGfAr,改成白酒etf得了，挂羊头卖狗肉,,,10-17
小夏子2023,食品饮料板块分化中寻机遇：高景气赛道领跑，餐饮链复苏引关注,,,10-17
大A的初恋,是不是可以冲了,,,10-17
此刻想到你,跌到0.5可以买进,,,10-14
Fdmony,我今天买了，我是新手！第一次买ETF，我想赚点生活费。,,,10-14
小夏子2023,茅台酱香酒市场回暖，食品饮料板块配置性价比凸显,,,10-16
洒脱随性的白榆1,上涨还差一个消息引爆,,,10-16
股友7902335W3T,真难顶啊，0.59拿了一个多月快俩个，然后今天0.592解套，扣掉手续费等等，5,,,10-16
风之刀007,牛，0.592一笔50万,,,10-16
股友7902335W3T,坏了我好像被套牢了，0.59现在几乎不起浮，也就银行还可以带带我，这些都把我压着,,,10-15
股友SoGFD4,涨到0.65元我就不要这个了,,,10-15
小夏子2023,风向变了？食品饮料ETF（515170）3日“吸金”6.68亿元,,,10-15
whl607419,买这个股票什么时候才能涨钱呀？什么时候才能往上涨，现在买亏不亏呀？,,,10-14
hk9jwhunmwa,你可拉不动大盘，小样,,,10-15
lhlbluesky,这个etf都没人发评论，好冷清,,,10-14
股友alS1rU,从月线看从去年的10月31号到今天一直处于一个底部水平线的横盘，也是有史以来横的,,,10-14
BFS1688,从川普第一次加税大跌买的酒水ETF;中间盈利多次，剩下的除了加仓钱以外就留喝酒的,,,10-14
孙耀锋,啥玩意，就是不涨,,,10-14
股友8822333rn2,快50%都是酒，这也叫食品饮料？有没有真正食品的指数，不要酒，不要酒,,,09-27
股友wE61253097,鬼在作妖，就是不涨,,,10-14
凤凰激光武器,这个基金是为了接盘用的,,,10-13
复利姬ovo,干脆叫茅台饮料得了,,,10-13
禁止量化做空,你该睡醒了吧？？？,,,10-13
股友7m0687m636,你啥时候长啊。你真是个垃圾，以后从此以后都不买你了,,,10-13
股友Z9e98V,上周五清仓了。今天又买一些，慢慢来，每跌0.005元，加仓一次，不盈利不出。,,,10-13
便捷的明伊耀,这个该涨了，外围利空，这个利好,,,10-11
复利姬ovo,鸡精经理配的这玩意，指挥棒被茅子拿着,,,10-10
小小现,垃圾，怎么可能让你们涨,,,10-10
股友08ioWg,这走势0.5能止跌就不错了,,,10-10
龍耀88,民以食为天，任机构恣意打压，我等逢低稳吸筹，比持有那些已被疯狂猛炒至极高风险价区,,,10-09
爱臭美的WJY,没戏了！割肉了，拜拜,,,10-09
基民9dgGuG,大佬刚建仓，你们清仓！,,,10-09
爱赚钱de小强,大盘上4000点了他还跌，卖了半导体，买了你,,,10-09
大A的初恋,好家伙，又看不到底了。还是不能买，站上均线再说,,,10-09
基民P7UVlJ,我在食品饮料躲牛市！,,,10-09
基民P7UVlJ,我在食品饮料里面躲牛市。。。,,,10-09
在月光下,冒绿光的统统买入，快去，去晚了买不着了,,,10-09
信者无敌4,做个人吧,,,10-09
股友9NGfAr,这只基金比较烂，连跌四年，看来就是上一波炒作白酒的时候高位接盘，结果就是肉一点没,,,10-08
股友8W6267f300,食品饮料不持仓安井和东鹏？？？全买酒？,,,09-30
ZAST,都没有新帖唉那我就放心了节后大涨,,,10-07
股友Z9e98V,0.582成本，网格交易，自动买卖。能跑盈银行三年期存款利息就行。,,,09-30
复利姬ovo,全市场没增量资金，半导体起来，其他就都趴着，半导体趴着，为了指数好看茅台就动，茅,,,09-30
基民2562Rv5959,该ETF主要权重是茅台、五粮液等白酒，涨幅波动和白酒板块基本一致,,,09-24
hk9jwhunmwa,没有出头之日了,,,09-30
大A的初恋,别在这耗了，不敢转科技，转军工，化工也不错啊,,,09-30
牛来叫我,看似有支撑，其实都是散户,,,09-30
投资参谋,【等风投】食品饮料——三个最关心的问题,,,09-30
买民企能发财,要不是今天是涨的那么近一年涨幅还是绿的,,,09-29
出手只为涨停,唉，全仓进去一直补，节前会跌就扔了，卖了就拉，卸载了，再也不玩了,,,09-29
作手旧衣,明天高开了,,,09-29
割是个传说,下跌想着卖的，都是看空。任何资产都是有底的。一堆上市公司怎么跌也有底，指数只适合,,,09-29
股友7902335W3T,不知道说什么,,,09-29
割是个传说,下跌如抽丝。靠看空挣不了钱。,,,09-29
嘟嘟爱元宝,这量价，先进来再说,,,09-29
复利姬ovo,全靠茅台托起来,,,09-29
复利姬ovo,配了那么多白酒，结果怒涨一个点。,,,09-29
割是个传说,指数懒得说，唯一的风险是没钱买。,,,09-29
作手旧衣,酒都起飞了,,,09-29
股友KC95338039,真的是带死不活,,,09-29
股友9NGfAr,非常好，跌透才好，不死不活浪费时间,,,09-29
行者不惧,配合,,,09-29
股海水翻翻,前高成本，什么时候解套？,,,09-26
股友alS1rU,0.585都会被套,,,09-23
复利姬ovo,一个字绝,,,09-26
执行纪律的鸡哥,10年难遇，是机会还是风险？我觉得风险不大了，机会也小。,,,09-26
趋势能力,跌成了,,,09-26
复利姬ovo,这个etf配的真够烂的,,,09-26
基民JAXhFu,1月亏了13.5走的，持有了3年多。回来一看，牛市了还不如我1月清仓的时候价高，,,,09-25
股友svrRIe,反弹都没有，够差劲,,,09-25
大A的初恋,服了，下跌趋势无解,,,09-25
发达小公主,喝酒也是渣男，成本0.65，回本要好久！,,,09-25
龙年发财运,我在食品躲牛市，你们在哪里躲猫猫,,,09-25
日富一日的营乾,继续↓,,,09-25
基民p0aFbO,也是在大牛市里，感受到了寒冷,,,09-25
日富一日的营乾,还得创新低离0.55越来越近了,,,09-25
基民51o879m198,在饮料这磨磨唧唧的钱在科技早回来了,,,09-25
趋势能力,不能天天找die吧,,,09-25
捡钱卡拉米,底部一直在抬高，应该快触底反弹了。,,,09-25
禁止量化做空,主力想让我们割肉交出筹码？没门儿！耗着！！！,,,09-25
赖666,不能抄底先涨10%再买也不急,,,09-24
股友7902335W3T,你不要和证券一样好吗，，俩个买入都是一路跳跌，这货0.59进最多的时候也才0.5,,,09-24
大A的初恋,继续等信号吧，除非一根超级大阳线改三观。,,,09-24
悟道中2025,这玩意了吗，草,,,09-24
行者不惧,你涨0.17也是涨了啊，别给劳资平啊,,,09-24
聆听打爆头,你就是个拉基,,,09-24
基民85C086y253,醉了，买进去就一直跌，没见红过，牛,,,09-24
行者不惧,垃圾哪里跑！,,,09-24
割是个传说,$食品饮料ETF(SH515170)$,,,09-23
步步的高升,这个是所有基金最差的一个，没人反对吧，一个多星期前我准备调仓到半导体最后没调，如,,,09-24
股友7Y9368H532,只要我不卖你就赚不到我钱,,,09-24
大A的初恋,继续跌，不敢抄底。,,,09-23
饥饿股民,这玩意儿持仓五年了，还亏一半,,,09-23
割是个传说,$食品饮料ETF(SH515170)$,,,09-23
日富一日的营乾,大盘反弹，这玩意最多随着弱反，还是以跌为主,,,09-23
悟道中2025,昨天刚加一倍仓，还踏马跌。。不加了，,,,09-23
金兔叽,跌傻了,,,09-23
买民企能发财,8连跌，你就说厉害不厉害了,,,09-23
只赚了股龄,没涨过的食品饮料不应该是大跌时的防御利器吗？,,,09-23
坚决的韩昭,走了，走了，去科技,,,09-23
悟道中2025,食品饮料到底造了什么孽,,,09-22
步步的高升,啊,,,09-22
日富一日的营乾,空方炮，缩量收阴，继续↓,,,09-22
禁止量化做空,你打算“调整”到下一个世纪吧？,,,09-22
股友svrRIe,太后悔了613不卖还拿着，跌跌不休的玩意,,,09-22
股友502920IV13,基金经理是谁,,,09-22
悟道中2025,这坨史到底要跌多久！！！,,,09-22
悟道中2025,挂0.583加仓不给计划啊,,,09-22
股友alS1rU,垃圾,,,09-22
hk9jwhunmwa,拿着无益割了可惜,,,09-22
金岭园主,长期触底虚实现在可以择机低吸，进来慢慢的建仓一年后就会有可观收益,,,09-22
股友jfEZBv,冰点已到，随时反弹修补,,,09-22
股友svrRIe,太拉了，一路向下,,,09-22
股友svrRIe,……,,,09-22
买民企能发财,谁敢碰这种,,,09-22
割是个传说,$食品饮料ETF(SH515170)$,,,09-19
静静等待16888,下周开始启动,,,09-19
不曾看见你,你有没有绝味鸭脖，不会跟吧,,,09-20
超级逆转,赚钱了都是用来消费的！,,,09-19
不曾看见你,每天都这样子，最低价0收盘,,,09-20
日富一日的营乾,这个基金成立于20年12月30号，茅台等酒业最高点在21年2月，随后一路随着下跌,,,09-18
股友svrRIe,这要几连阴才可以止跌啊，,,,09-19
我不是梦想家,请教：这个份额不是固定的84亿吗？,,,09-19
我不是梦想家,请教，这个份额不是固定的86亿？,,,09-19
不曾看见你,套着就套着吧，我就不相信印发的那些钱一直在半导体轮转不出来！,,,09-19
股友9NGfAr,多跌点,,,09-19
股友VxF1Re,地产好不了，消费好不了。等地产到底吧(•_•),,,09-18
小散霸主,老登股，跟跌不跟涨,,,09-18
胡汉三321,这破玩意防守也不行,,,09-18
股友svrRIe,好厉害五连阴牛叉叉,,,09-18
割是个传说,$食品饮料ETF(SH515170)$,,,09-17
大眼镜美女,……,,,09-18
日富一日的营乾,大盘创新高，这个基金却创新低，怎么投诉这个基金经理？要求换人或扣发工资和奖金！,,,09-18
和蔼可亲的孙昊祥,给个机会吧，0.598买入,,,09-17
日富一日的营乾,大家关注这个基金经理每天都去骂骂它,,,09-18
不曾看见你,跌停把兄弟,,,09-18
趋势能力,明天反弹一下,,,09-17
买民企能发财,厉害，我是一股也不想补,,,09-18
桃子lin,我在这里躲牛市,,,09-17
胡汉三321,汪汪队砸券商、砸白酒稳指数，咋没能耐砸创业板、cpo呢,,,09-17
英气俊朗的乔涛,今天3：00，国新办召开关于“扩大服务消费”发布会。,,,09-17
财不入急门_耐心,我擦逼啊,,,09-17
英气俊朗的乔涛,今天3：00，国新办召开关于“扩大服务消费”发布会,,,09-17
福气多多宝宝,坚定定投，一定是潜力股,,,09-17
股友jfEZBv,大盘想要上3900，没有这个板块助力不行。耐心等待吧,,,09-17
胡汉三321,看来根本防不住!,,,09-16
娴淑典雅的龚衍慕,三只乌鸦吗？,,,09-16
团结地夏兰,这玩意该涨了！！！,,,09-16
股友9NGfAr,真下头,,,09-16
一票一款,外资最看重的就是白酒，降息了还不涨停板。,,,09-16
淡定从容做股,为什么是605收盘，而不是606或607？这样有些恶心。,,,09-12
hk9jwhunmwa,这厮不长不说还时不时的砸个盘,,,09-15
股友alS1rU,呆在食品饮料躲牛市,,,09-15
加仓居士灬,浪费行情，确实主线就是科技，先撤了等科技再给机会进了，资金的注意力完全不在这里,,,09-15
股友9NGfAr,要不就多跌点，别墨迹墨迹的,,,09-15
买民企能发财,今天忘了委托了，头大,,,09-12
买民企能发财,像一条蛇下楼梯,,,09-12
买民企能发财,跌的真丝滑，一点抵抗都没有,,,09-12
割是个传说,$食品饮料ETF(SH515170)$,,,09-12
hk9jwhunmwa,这厮没希望了，走了丢人啊,,,09-12
缠学禅,玩着个估计都是老股票吧，看这些传统行业真的有种莫名无力感，反正今年买的那些传统行,,,09-12
割是个传说,$食品饮料ETF(SH515170)$,,,09-11
ETF工匠,收工，今晚海鲜自助,,,09-11
股友jfEZBv,这个东东不知还要磨蹭多久才会往上走走,,,09-11
一票一款,既然板块选择提前大盘调整，没有必要在这个位置死守。大盘量能从3万亿到现在两万亿说,,,09-10
股友910y583y68,清仓了，太墨迹了,,,09-11
胡汉三321,这个ETF防守能力还是很强，很满意。现在轮到证券这种大屁股攻守兼备了,,,09-11
ETF工匠,不活跃，很头疼,,,09-10
自律者得自由,电风扇该转到食品饮料了吧？,,,09-11
割是个传说,$食品饮料ETF(SH515170)$,,,09-10
股友wE61253097,周线就在一个水平面上波动这个实在高,,,09-10
胡汉三321,这玩意真的挺香，防守轻松防住了，还小赚点。本想加仓，还得缓缓,,,09-10
买民企能发财,哪天不小心买了一手，结果套我半个月,,,09-10
买民企能发财,月k的走势没有白酒的好,,,09-10
胡汉三321,这玩意真能防住啊，这几天小红线嘎嘎来劲!,,,09-09
割是个传说,$食品饮料ETF(SH515170)$,,,09-09
娴淑典雅的苏骏梅,为什么我一出去又往上了,,,09-09
胡汉三321,这玩意能不能防住?地惨都涨了，白酒不跟?,,,09-09
夏珂o,怎么卖半天卖不出去,,,09-09
股友ZmiAJC,0.88什么时候能回本，被套了3年。基金一发行就买了,,,09-09
割是个传说,$食品饮料ETF(SH515170)$,,,09-08
A随机生成不如意,不羡慕旁人短线个股翻倍，还是依然专注自己的基，不玩偏移,,,09-08
三板阻,垫底儿,,,09-08
潇洒不羁的谷芝菲,殴福中国独一无二的企业，未来10倍大牛股，前景非常好,,,09-06
股友6767597c,什么时候能突破10月8高点啊,,,09-05
买民企能发财,本来也是想做个短线差价的，没想到一买就套那么久,,,09-05
买民企能发财,那时候涨停耶不过3割亿而已,,,09-05
买民企能发财,高买低买，成本就这样上去了，也不知道什么时候才能解套了,,,09-05
胡汉三321,今天买了点这玩意防守，希望能防住,,,09-04
hk9jwhunmwa,这个板块担当不起拉大盘的担子,,,09-02
步步的高升,持仓的股,,,09-04
标致de行者,食品饮料板块在上涨，你却在下跌，怎么回事？,,,09-04
买民企能发财,涨一天跌一天的，让他们自己玩,,,08-29
开心市民万万,我去这走势网格圣体啊,,,09-04
生机广进de楼高,食品饮料涨了,,,09-04
善良的郑麦克1,这是什么东西，消费不是今天在涨吗,,,09-04
容易的颜圣翼2,这个家伙就是两年前的创新药啊。,,,09-02
割是个传说,$食品饮料ETF(SH515170)$,,,09-02
股友l3vpGp,这个基冲高就得跑真不能格局,,,09-02
割是个传说,$食品饮料ETF(SH515170)$,,,09-01
A随机生成不如意,三年内做加法,,,08-30
花开纳福的傅红雪,通信设备ETF159583涨疯了。疫情时买的还碳在山下，啥时候解套？,,,09-01
小夏子2023,食品饮料仍处于估值低位，资金持续抢筹,,,09-01
大A的初恋,在这里躲牛市，不如卖掉一点去科创体验下，难道能买崩了不成。,,,08-28
股天乐天天乐,今天白酒涨得也不错啊，这货怎么还是绿的呢？这么差劲？,,,09-01
小夏子2023,市场情绪持续升温，关注食品饮料补涨行情,,,09-01
基金资讯,华夏中证细分食品饮料产业主题交易型开放式指数证券投资基金2025年中期报告,,,08-29
三板阻,草,,,08-29
割是个传说,$食品饮料ETF(SH515170)$,,,08-29
hk9jwhunmwa,这厮有半导体一半一半的能力就好了,,,08-29
小散霸主,跟着汇金买,,,08-29
我们想赚钱,这只基金从成立就没挣钱,,,08-20
岳小玉雪玲珑,这是最后启动的一个板块吗？轮到你了吗,,,08-25
买民企能发财,被害了,,,08-28
股友wE61253097,涨几个月，几天就可以跌没了,,,08-28
买民企能发财,纹丝不动,,,08-28
岳小玉雪玲珑,一日游吗,,,08-27
直播AI速看小助理,【AI速看】捕牛系列：消费、医疗，如何左侧伏击？,,,08-27
亲切的文琦,把科技出了买它不知道对不对,,,08-27
穿拖鞋晒月亮,股市依然是杀散户的地方,,,08-27
小散霸主,你都没怎么涨？好意思跌？,,,08-27
股友BzwwSo,这货是真扶不起来,,,08-27
牛来叫我,跌倒0.570我就准备梭哈了,,,08-27
啥也不是404,坐稳护好,,,08-25
小夏子2023,顺周期需求侧回暖，消费板块配置优势突出,,,08-26
三板阻,菜鸡512690516900之前和这两个持平，现在差多少？,,,08-26
股友alS1rU,全清了不知对不对,,,08-25
光辉6,我还没补就飞了,,,08-25
股友alS1rU,0.606卖飞了,,,08-25
三板阻,草,,,08-25
股友alS1rU,$食品饮料ETF(SH515170)$,,,08-25
三板阻,草,,,08-25
大A的初恋,不如港股消费。,,,08-25
老豆说,花掉的，才是自己的…,,,08-24
迷人的邱兰芳,农业板块这波牛市不涨反跌,,,08-22
三板阻,草,,,08-22
股友svrRIe,靠一动不动服了大盘涨都带不动你，跌你就飞快,,,08-22
大A的初恋,科创板，证券，生物医药不敢买，去看看港股消费是不是也适合？,,,08-22
三板阻,草不差不叫过日子，,,,08-22
割是个传说,$食品饮料ETF(SH515170)$,,,08-21
要做好管家,看这形式不妙，0.595先下车了。,,,08-21
三板阻,同样的持仓,,,08-20
三板阻,跳水运动员,,,08-20
大A的初恋,明年再看这个吧，今年Ai，大金融，生物医药。现在看需要加科创了,,,08-18
双双来了,今天可以进点食品饮料。,,,08-19
清梦如风,0.586出局。,,,08-19
纯真善良的白榆2,买你不如直接买白酒，曹,,,08-19
三板阻,草杂毛,,,08-19
华福面包蛋糕店,炒股十几20年没有买过ETF想想问一下这个风险大不大？,,,08-17
三板阻,草,,,08-18
股友alS1rU,别的板块都大涨了，轮也轮到咱了吧,,,08-18
纯真善良的白榆2,这只基金比白酒都更废,,,08-18
股友alS1rU,我在食品饮料躲牛市,,,08-18
清梦如风,早盘0.578入一层，下午消费该助攻了。,,,08-18
山顶嫩韭迎风摇摆,稳如泰山,,,08-18
小散霸主,牛市这个也不会涨的,,,08-18
小发略略略,好废啊,,,08-18
光辉6,0.63的本都难到，补都不想补，浪费时间和钱,,,08-16
明德货运,看到0.725有压力过了看0.8,,,08-17
ETF工匠,发个今天的和五天的，要到0.7走,,,08-15
股友033U09056t,没事，我等你,,,08-15
我只是个投资妹妹,牛市？吐血啊,,,08-15
heiluo,"这个有戏,买!",,,08-15
纯真善良的白榆2,这只鸡是温基,,,08-15
股友svrRIe,靠一动不动,,,08-15
股友svrRIe,靠,,,08-15
股友296m70K115,真的是躲牛市,,,08-13
基民P7r5087333,太强了！！！,,,08-15
A随机生成不如意,少折腾，等机会，敢重仓,,,08-09
三板阻,每天少每天少2点，,,,08-12
三板阻,基金资金互导，没行情，,,,08-12
varjo,一个所谓食品饮料ETF里，前十大重仓股7支是酒相关的公司，真够搞笑的，干脆改名叫,,,08-07
小夏子2023,“吃喝板块”表现强势，食品饮料ETF（515170）午后涨1.58%,,,08-11
买民企能发财,连续下跌5年，也是没谁了,,,08-07
三板阻,每天少2点，今天少3点，,,,08-11
只动口不动手,我在食品躲牛市,,,08-06
纯真善良的白榆2,大盘涨回去了，你能跟回去吗？？,,,08-06
ETF工匠,这个套我最久了,,,08-04
三板阻,每天少2点,,,08-05
小夏子2023,内需结构升级，家电、白酒等低位行业向上突破,,,08-05
买民企能发财,下跌总是很漫长,,,08-04
接管华尔街,3600又快了！你买酒了吗？,,,08-05
割是个传说,$食品饮料ETF(SH515170)$,,,08-04
hk9jwhunmwa,下跌来的很快,,,08-04
