author,comments,reply_comments,reply_authors,update
只买集合竞价,都热死人了空调还不涨吗？,,,07-03
买菜君与奇妙菜场,又给我装到了...装大发了...,,,07-14
今天你被量化了吗,政府补贴已经进入倒计时，多个省份已经限制领取，实际上是停发了，18000点见吧,,,07-10
股友VmUv7y,天这么热为什么格力。美底。海尔股票不涨那,,,07-08
沉着冷静的华舒茜,今天上午把这两天进来的杀毕散户最后一洗，下午百分百涨停，不是涨停我包赔，每人五千,,,07-03
沉着冷静的华舒茜,外面任何一个股你们买了都是至少5个点，非要买东贝亏钱，大声告诉我你们是不是杀毕还,,,07-04
沉着冷静的华舒茜,大盘起来了，外面都是地天，你们赶紧卖了东贝去买啊哈哈哈,,,07-04
股友VmUv7y,千万不要买长虹美菱的股票太坑人,,,06-30
股友VmUv7y,千万不要买长虹家族的股票。太坑人了,,,06-26
万豪4375,高歌猛进,,,06-25
万豪4375,扩消费措施中央再加码！,,,06-25
万豪4375,势不可挡势如破竹,,,06-25
万豪4375,火箭发射,,,06-25
万豪4375,大消费家电消售增长两位数，国补立大功,,,06-25
万豪4375,家电板块坐火箭发射！大反攻来了！,,,06-25
万豪4375,主力狂砸，中小户狂买,,,06-25
万豪4375,板块上午磨叽磨叽。下午涨停潮,,,06-25
万豪4375,6月23日起，美国对进口洗衣机，冰箱，彩电家电加百分之五十关税。,,,06-14
舒缓的席南,大利空。家电板块也在高位。主要指数又到3400了。有回调需求,,,06-13
股友T0d7331183,央视记者当地时间6月12日获悉，美国商务部宣布将自6月23日起对多种钢制家用电器,,,06-13
股友WfnW8H,电热属于家电概念，没有生产冰箱，洗衣机，空调这样的概念，也就是生的。涨的时候,,,06-12
申公豹2018,多家车企承诺支付账期不超60天，包括比亚迪、一汽、东风等，响应国家保障产业链稳定,,,06-11
简单与海,拾比佰,,,06-09
杰之冠,定投，每个月1手,,,06-04
有为而治大阳线,错杀会补涨吗，这位德力股份(SZ002571)早盘竞价主力偷袭吃货，地板上吸筹，,,,05-13
有为而治大阳线,怎么样你看抄底，德力股份(SZ002571)博弈地天板，早盘竞价主力偷袭吃货，地,,,05-12
一地鸡毛922,下午起飞,,,04-25
葛大壮,159770马上翻红，买入要快,,,04-25
看主业目标2w冲10,什么含金量，我就不多说了吧,,,04-25
葛大壮,159801冉冉升起的东方之星，拼的就是手速,,,04-23
简单与海,扩大内需，家电行业先行！,,,04-23
欣欣Q,调头向下~跑,,,04-22
聪明的波澜不惊,转战tcl智家上涨上涨上涨,,,04-15
哥Lei,太不正常了，业绩好的几乎全绿，绩差股涨得都挺好,,,04-14
巫马显言,格力怕是家电板唯一的绿吧,,,04-10
涨了就爱,家电板块今天首当其冲！,,,04-07
股友19O5333q01,这个神奇的市场，业绩好的二十厘米跌停，业绩亏损的十厘米涨停,,,04-03
防火线,都做头了,,,03-27
小鲤66F,这一波操作砸得真狠,,,03-25
办点不由人,明天的长虹美菱还买得到吗,,,03-18
有远见的梦蓝雁9,Ai十高端制造十智能家居，十推动消费！！！海尔必暴涨！！！,,,03-18
睿智de安洁莉娜,新高了,,,03-07
价值交易财经,大盘走势良好。希望涨停20个板,,,03-12
埃斯顿假厂长,只有房地产复苏才会是真正机会否则就是昙花一现,,,03-07
万豪4375,家电手机销量暴涨。国补给力,,,03-04
万豪4375,耐用消费品寿命更换大周期加持国补政策确实销量暴涨。,,,03-04
股友10153o90I2,今天华帝崛起,,,02-27
