author,comments,reply_comments,reply_authors,update
情绪反向利用,涨得调少空跌无量,,,09-17
小散668,这只没戏，主要持仓是茅台、五粮液等白酒，白酒已经不行了，所以这只鸡也没戏。,,,08-20
小豌豆豆,怎么办,,,09-12
勤劳善良的温睿博,怎么这么高溢价,,,09-05
基民QrgiVY,这个不能算食品饮料，跟白酒几乎没有区别，今天食品饮料涨了两个多点。,,,09-04
情绪反向利用,今天可以加吗,,,09-02
开仓进宝,到顶了,,,09-01
情绪反向利用,将军黄金坑,,,09-01
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金2025年中期报告,,,08-29
情绪反向利用,风险解除还要震荡吗,,,08-29
情绪反向利用,高一点就行,,,08-29
情绪反向利用,接着洗盘概率大呢，小阴小阳吸筹还是快速拉呢？的服了,,,08-29
情绪反向利用,60分钟涨九跌九，时间空间对称，有意思，过山车,,,08-28
情绪反向利用,15分钟级别买一层,,,08-28
情绪反向利用,周线应该可以看到6新高，拥抱波动拿好看戏就行,,,08-27
情绪反向利用,下一目标687,,,08-27
情绪反向利用,周线门当户对,,,08-25
情绪反向利用,价过高量,,,08-25
情绪反向利用,小阳不动等大阳，你不涨我不走，欠我的必须还我,,,08-22
勤劳善良的温睿博,这基金要连跌十年,,,08-22
情绪反向利用,目标位前高644,,,08-21
情绪反向利用,60分钟大阳吃九还有九,,,08-20
情绪反向利用,双高K,,,08-18
勤劳善良的温睿博,连跌五年啊！！！！牛市熊市都跌的垃圾！,,,08-18
平常风,里面的成份股全涨，为啥它能跌,,,08-18
情绪反向利用,这次真突破中枢缺认吗？,,,08-17
情绪反向利用,小楔形整理,,,08-17
情绪反向利用,病毒阳,,,08-16
情绪反向利用,九中高点返一番,,,08-16
情绪反向利用,拉尾盘的光头阳,,,08-16
长韭才赢,低位放量，蓄势待发,,,08-14
n14011955689daa8,稳稳的，不动,,,08-13
股友Xr9Ikg,最垃圾的基金,,,08-08
勤劳善良的温睿博,连跌五年！！这个成为全市第一了吧！,,,08-06
草根九菜,这是喝了多少假酒,,,08-04
股友71732Q29M9,心态炸了,,,08-04
情绪反向利用,新发现季度五日拐头向上，,,,08-01
情绪反向利用,$食品饮料ETF基金(SH516900)$,,,08-01
草根九菜,七月份的涨幅，一天跌没,,,07-31
情绪反向利用,哎呦，我的妈呀，超出我的想象，少买点，看看还有没有低点,,,07-31
草根九菜,涨时没份，跌时领先,,,07-31
情绪反向利用,潜底后绝望见底,,,07-31
茶茶大人,无底洞,,,07-31
情绪反向利用,缩量潜底，加你,,,07-29
股友7M27760V21,$食品饮料ETF基金(SH516900)$,,,07-29
情绪反向利用,涨六调三空一半三创新低不破周,,,07-28
勤劳善良的温睿博,这个烂基完美避开了牛市！,,,07-22
情绪反向利用,缩量加你,,,07-21
勤劳善良的温睿博,基金，垃圾指数,,,07-21
情绪反向利用,新动能二次创新高,,,07-20
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金2025年第2季度报告,,,07-20
人性挑战者,小作坊不是下料猛那？怎么没人,,,07-18
勤劳善良的温睿博,这个etf净值有严重问题,,,07-18
情绪反向利用,三强七弱,,,07-17
情绪反向利用,加速破位放量,,,07-15
草根九菜,垃圾食品产地,,,07-16
情绪反向利用,强势低吸不创新低阴,,,07-14
情绪反向利用,奶奶的，一天提心吊胆的，收盘收在最高，分明就是成天吃货尾盘拉升,,,07-10
勤劳善良的温睿博,领导们可以用矿泉水瓶装茅台啊,,,07-11
勤劳善良的温睿博,史上最烂ETF没有之一,,,07-10
情绪反向利用,月线背离金叉周线CCi底部九补仓等月线背离有效突破，一股不卖，,,,07-09
情绪反向利用,双阳胜阴,,,07-08
勤劳善良的温睿博,指数下涨10%，它暴跌10%,,,07-08
情绪反向利用,横有多长竖有多高,,,07-07
不羡慕007,逐步建仓中,,,07-07
情绪反向利用,月金叉周日低位,,,07-06
情绪反向利用,静等25均线到前低,,,07-05
勤劳善良的温睿博,禁酒令牛啊,,,06-30
草根九菜,三军未动粮草先行，食品才是真正的战略物资,,,06-23
情绪反向利用,成功建仓下影线，目标位0.68，.时间两年内，期间一股都不动，如果再下跌5/10,,,06-19
优雅的华锦鹏1,一日游行情！,,,06-20
情绪反向利用,不创新低今日买点，做个记录,,,06-17
情绪反向利用,月看趋势周看高低,,,06-15
情绪反向利用,下跌放量,,,06-13
勤劳善良的温睿博,这个基是假的食品，应该是白酒etf,,,05-07
茶茶大人,真恶心,,,05-27
家财万贯得鲁班,垃圾，,,,05-19
价值投资持续复利,稳住我们能赢,,,05-15
价值投资持续复利,初见端倪,,,05-12
耐心的席言秋,笑死，没人交易的基金,,,04-29
股友0579V92q89,真墨迹,,,04-29
华安基金刘璇子,华安中证申万食品饮料ETF2025年度第一季度报告-报告期内基金投资策略和运作分析,,,04-25
盼兮牛牛,费用很高吧,,,04-22
龙井柠檬茶,食品饮料ETF持仓一堆酒业股票，它能涨起来吗,,,04-22
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金2025年第1季度报告,,,04-21
耐心的席言秋,快了快了，,,,03-25
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金2024年年度报告,,,03-30
风度翩翩的柯函素,这玩意真啊,,,03-28
晨元蕾瑞,天天低吸最嘴都快吸肿了，能不能长一下呀？,,,03-20
基金资讯,华安基金管理有限公司关于旗下部分基金增加东兴证券股份有限公司为一级交易商的公告,,,03-19
笑眯眯之小萝卜,图好看吗？什么运,,,03-14
有专注力的黄大师,不急，快涨了，,,,03-19
宝总繁花,这货咋涨不动,,,03-18
kfbz,消费需要刺激，一个天大的笑话,,,03-16
首异富,一日游,,,03-15
超市老板的货架,$食品饮料ETF基金(SH516900)$,,,03-14
股友10da062852,真烂，竞价没有一点成交,,,03-13
笑眯眯之小萝卜,建仓1份，极值低点,,,03-11
向上的大斌,必上1元,,,03-06
向上的大斌,怎么不动弹,,,03-05
持股涨涨,这个ETF有问题，跟食品饮料指数偏差太大了,,,03-04
